Key,Description,Standard
SETTEXT.Interface.1,,Le souvenir a été mis à jour.
SETTEXT.Interface.9,,Chargement du souvenir.
SETTEXT.Interface.22,,Chargement du souvenir..
SETTEXT.Interface.16,,Chargement du souvenir...
SETTEXT.Interface.17,,Chargement du souvenir..
SETTEXT.Interface.23,,Chargement du souvenir.
SETTEXT.Interface.25,,Chargement du souvenir..
SETTEXT.Interface.26,,Chargement du souvenir...
SETTEXT.Interface.30,,Chargement du souvenir..
SETTEXT.Interface.32,,Chargement du souvenir.
SETTEXT.Interface.34,,Chargement du souvenir..
SETTEXT.Interface.36,,Chargement du souvenir...
SETTEXT.Interface.41,,Indice Radio.
SETTEXT.Interface.49,,Indice Radio.
SETTEXT.Interface.57,,Indice Radio.
SETTEXT.Interface Entrée.1,,Le souvenir a été mis à jour.
SAY.Entrée.1.Barbara Pinault,,"Où est-ce qu'on est ? C'est quoi ce bordel ? J'ai payé une fortune pour récupérer ce tableau ! J'espère que vous aller me rembourser, bande de charlatans!"
SAY.Entrée.5.Agent Domingus,,"Calmez vous ! Comme dit dans notre conversation, il se pourrait qu'il y ait des anomalies. Reconnaissez-vous l'endroit ?"
SAY.Entrée.2.Barbara Pinault,,Je...-J'en sais rien... Ça ne me dit rien pour l'instant.
SAY.Entrée.3.Agent Domingus,,"Vos souvenirs semblent être très flous, je vais essayer d'explorer pour en savoir plus."
SAY.Entrée.9.Agent Domingus,,C'est quoi ses règles super strictes ?
SAY.Entrée.13.Barbara Pinault,,"C'est mon carnet de santé ça, je reconnais le dinosaure ! Mais pourquoi est-ce qu'il est ici?"
SAY.Entrée.16.Barbara Pinault,,"Jamais j'oublierais ce porte manteau, il me terrifiait quand j’étais jeune.\nTu trouves pas qu'il a une allure de croque-mitaine?"
SAY.Entrée.19.Barbara Pinault,,"J'tai déjà battu une fois, et je recommencerai si tu m'laisses pas passer."
SAY.Entrée.20.Agent Domingus,,Mais de quoi vous parlez?
SAY.Entrée.30.Barbara Pinault,,"Le monstre qui hantait mes cauchemars, celui devant vous."
SAY.Entrée.23.Barbara Pinault,,Anne ? Qu'est-ce que tu fais sur cette photo ?
SAY.Entrée.24.Agent Domingus,,Anne? C'est qui ?
SAY.Entrée.31.Barbara Pinault,,C'était ma nourrice.
SAY.Entrée.34.Barbara Pinault,,"Les devoirs d'école m'ennuyaient à mourir, je préférais passer mes journées à dessiner avec Anne, et à lire des BD."
SAY.Entrée.40.Barbara Pinault,,"On pourrait penser que j'aime pas ce genre de BD, mais pourtant..."
SAY.Entrée.41.Barbara Pinault,,"Je rêvais d'avoir un vaisseau spatial a la maison, PEW PEW PEW !"
SAY.Entrée.44.Barbara Pinault,,"Tiens, un bulletin météo qui annonce de la pluie... Pour changer !"
SAY.Entrée.47.Barbara Pinault,,Je ne me rappelais pas percevoir les formes de ce tableau aussi mal...
SAY.Entrée.50.Barbara Pinault,,"C'est le tableau ! Il est dans le salon, je me souvient maintenant, il était accroché au mur."
SAY.Entrée.53.Barbara Pinault,,"J’étais complètement obsédée par l'histoire de Vilebrequin, le plus grand cambrioleur que le monde ait connue!"
SAY.Entrée.54.Barbara Pinault,,À tel point que je m'amusais à dissimuler tout et n'importe quoi...
SAY.Entrée.62.Barbara Pinault,,Ce micro onde me rappelle quelque chose...
SAY.Entrée.68.Agent Domingus,,"M'approcher trop de cette anomalie risque de perturber la cliente, je devrais sans doute la raisonner pour commencer."
SETTEXT.Text Menu.103,,Mme Barbara Pinault - 35ans\nCollectionneuse d'art\nMission : Récupérer un tableau disparu du peintre Joseph Picarro
SETTEXT.Text Menu.144,,"Bonjour, je souhaiterais récupérer un tableau disparu depuis des années."
SAY.Text Menu.3.Cliente,,"Bonjour, je souhaiterais récupérer un tableau disparu depuis des années."
SETTEXT.Text Menu.145,,"Bonjour Madame, pour pouvoir récupérer un objet dans le passé, nous aurions besoin de nous assurer que vous ayez été en présence de cette objet dans le passé."
SAY.Text Menu.4.Employee,,"Bonjour Madame, pour pouvoir récupérer un objet dans le passé, nous aurions besoin de nous assurer que vous ayez été en présence de cette objet dans le passé."
SETTEXT.Text Menu.150,,"Merci je suis au courant, je sais lire..."
SAY.Text Menu.5.Cliente,,"Merci je suis au courant, je sais lire..."
SETTEXT.Text Menu.151,,"J'ai été en présence de ce tableau lors du denier venissage du peintre, avant sa mort."
SAY.Text Menu.6.Cliente,,"J'ai été en présence de ce tableau lors du denier venissage du peintre, avant sa mort."
SETTEXT.Text Menu.152,,Un vernissage auquel seul les gens de la haute était conviés.
SAY.Text Menu.7.Cliente,,Un vernissage auquel seul les gens de la haute était conviés.
SETTEXT.Text Menu.157,,"Très bien.\nNous tenons à vous rappellez que notre technologie n'en est qu'à ces débuts, et il se pourrait que certaines anomalies se produisent. Toutefois, votre état de santé ne sera pas impacté."
SAY.Text Menu.8.Employee,,"Très bien.\nNous tenons à vous rappellez que notre technologie n'en est qu'à ces débuts, et il se pourrait que certaines anomalies se produisent. Toutefois, votre état de santé ne sera pas impacté."
SETTEXT.Text Menu.153,,Ne commencez pas à vous chercher des excuses !
SAY.Text Menu.9.Cliente,,Ne commencez pas à vous chercher des excuses !
SETTEXT.Text Menu.154,,"Si je vous paie c'est pour quelque chose, et j'ai intéret à l'avoir !"
SAY.Text Menu.10.Cliente,,"Si je vous paie c'est pour quelque chose, et j'ai intéret à l'avoir !"
SETTEXT.Text Menu.159,,"Madame, nous sommes simplement dans l'obligation légale de vous prévenir au cas où il y aurait quelconque anomalie durant le processus."
SAY.Text Menu.11.Employee,,"Madame, nous sommes simplement dans l'obligation légale de vous prévenir au cas où il y aurait quelconque anomalie durant le processus."
SETTEXT.Text Menu.155,,"Oui oui c'est ça, bien sûr..."
SAY.Text Menu.12.Cliente,,"Oui oui c'est ça, bien sûr..."
SETTEXT.Text Menu.156,,Quand est-ce que vous pouvez vous occupez de moi ?
SAY.Text Menu.13.Cliente,,Quand est-ce que vous pouvez vous occupez de moi ?
SETTEXT.Text Menu.160,,"Nous avons un créneau disponible le 8 juin 2046, cette date vous convient-elle ?"
SAY.Text Menu.14.Employee,,"Nous avons un créneau disponible le 8 juin 2046, cette date vous convient-elle ?"
SETTEXT.Text Menu.149,,"Et bien, il ne faut pas être pressé à ce que je vois... Disons que ça ira, faute de mieux."
SAY.Text Menu.15.Cliente,,"Et bien, il ne faut pas être pressé à ce que je vois... Disons que ça ira, faute de mieux."
SETTEXT.Text Menu.158,,"Fort bien, une bonne journée à vous Madame, et à bientôt !"
SAY.Text Menu.16.Employee,,"Fort bien, une bonne journée à vous Madame, et à bientôt !"
SETTEXT.Text Menu.53,,8 Juin 2046
SETTEXT.Text Menu.231,,Mr. Thierry Fourtacci - 35ans\nFigurant\nMission : Récupérer le script de son premier rôle de Figurant
SETTEXT.Text Menu.234,,"Bonjour, \nJe suis Thierry Fourtacci, figurant de renom !"
SAY.Text Menu.243.Cliente,,"Bonjour, \nJe suis Thierry Fourtacci, figurant de renom !"
SETTEXT.Text Menu.256,,Je cherche à récupérer le script de mon premier rôle
SAY.Text Menu.257.Cliente,,Je cherche à récupérer le script de mon premier rôle
SETTEXT.Text Menu.268,,"Bonjour M. Fourtacci, pouvez-vous nous décrire un peu plus ce scénario et où vous l'avez vu pour la dernière fois ?"
SAY.Text Menu.269.Employee,,"Bonjour M. Fourtacci, pouvez-vous nous décrire un peu plus ce scénario et où vous l'avez vu pour la dernière fois ?"
SETTEXT.Text Menu.276,,"Je vous situe le contexte, je suis dans un film de guerre"
SAY.Text Menu.277.Cliente,,"Je vous situe le contexte, je suis dans un film de guerre"
SETTEXT.Text Menu.287,,Un film on peut plus sérieux !
SAY.Text Menu.288.Cliente,,Un film on peut plus sérieux !
SETTEXT.Text Menu.298,,"Vous verrez que je ressors assez bien en flou, c'est parce que je suis assez solaire"
SAY.Text Menu.299.Cliente,,"Vous verrez que je ressors assez bien en flou, c'est parce que je suis assez solaire"
SETTEXT.Text Menu.309,,J'ai fais cela en Impro Total
SAY.Text Menu.310.Cliente,,J'ai fais cela en Impro Total
SETTEXT.Text Menu.320,,"Le réalisateur il disait quoi ? ""C'est ok pour moi on passe à la suivante !"""
SAY.Text Menu.321.Cliente,,"Le réalisateur il disait quoi ? ""C'est ok pour moi on passe à la suivante !"""
SETTEXT.Text Menu.331,,Ça montre à quel point il avait confiance en moi
SAY.Text Menu.332.Cliente,,Ça montre à quel point il avait confiance en moi
SETTEXT.Text Menu.343,,"Très bien, mais vous souvenez d'ou vous l'avez vu pour la dernière fois ?"
SAY.Text Menu.344.Employee,,"Très bien, mais vous souvenez d'ou vous l'avez vu pour la dernière fois ?"
SETTEXT.Text Menu.351,,Dans ma loge de figurant
SAY.Text Menu.352.Cliente,,Dans ma loge de figurant
SETTEXT.Text Menu.362,,Je suis quand même un gars qui a des 100 aines de long métrage dans les bagages
SAY.Text Menu.363.Cliente,,Je suis quand même un gars qui a des 100 aines de long métrage dans les bagages
SETTEXT.Text Menu.373,,"Oui, j'avais une loge..."
SAY.Text Menu.374.Cliente,,"Oui, j'avais une loge..."
SETTEXT.Text Menu.384,,Enfin une pièce de stockage...
SAY.Text Menu.385.Cliente,,Enfin une pièce de stockage...
SETTEXT.Text Menu.395,,Un placard à balai en vérité
SAY.Text Menu.396.Cliente,,Un placard à balai en vérité
SETTEXT.Text Menu.406,,Mais cela n'enlever rien à mon talent !
SAY.Text Menu.407.Cliente,,Mais cela n'enlever rien à mon talent !
SETTEXT.Text Menu.418,,Et donc vous souhaité récupérer le script de votre premier film ou vous avez été figurant ?
SAY.Text Menu.419.Employee,,Et donc vous souhaité récupérer le script de votre premier film ou vous avez été figurant ?
SETTEXT.Text Menu.426,,Le mot figurant est peu être un peu fort
SAY.Text Menu.427.Cliente,,Le mot figurant est peu être un peu fort
SETTEXT.Text Menu.437,,"Quand je joue un rôle, je joue le rôle"
SAY.Text Menu.438.Cliente,,"Quand je joue un rôle, je joue le rôle"
SETTEXT.Text Menu.448,,Je m'imprègne du personnage
SAY.Text Menu.449.Cliente,,Je m'imprègne du personnage
SETTEXT.Text Menu.460,,"D'accord, mais c'est bien ce script là que vous voulez récupérer ?"
SAY.Text Menu.461.Employee,,"D'accord, mais c'est bien ce script là que vous voulez récupérer ?"
SETTEXT.Text Menu.468,,Tout à fait
SAY.Text Menu.469.Cliente,,Tout à fait
SETTEXT.Text Menu.479,,Je dirais que c'est une leçon de cinéma que j'ai pu offrir
SAY.Text Menu.480.Cliente,,Je dirais que c'est une leçon de cinéma que j'ai pu offrir
SETTEXT.Text Menu.491,,"Je vous propose une date pour le 29 mai 2046, cela vous irait ?"
SAY.Text Menu.492.Employee,,"Je vous propose une date pour le 29 mai 2046, cela vous irait ?"
SETTEXT.Text Menu.499,,"Excellent, c'est parfait"
SAY.Text Menu.500.Cliente,,"Excellent, c'est parfait"
SETTEXT.Text Menu.510,,29 Mai 2046
SETTEXT.Text Menu.586,,31 Mai 2046
SETTEXT.Text Menu.520,,"Cher ami, j'espère qu'après tout ce que j'ai pu vous raconté, vous regarderez ce chef d'oeuvre"
SAY.Text Menu.521.Cliente,,"Cher ami, j'espère qu'après tout ce que j'ai pu vous raconté, vous regarderez ce chef d'oeuvre"
SETTEXT.Text Menu.531,,Et que vous puissiez découvrire l'étendu de mon talent 
SAY.Text Menu.532.Cliente,,Et que vous puissiez découvrire l'étendu de mon talent 
SAY.Cuisine.44.Barbara Pinault,,Cette radio... Bonne qu'à annoncer des bulletins météos tous pires les uns que les autres.
SAY.Cuisine.47.Barbara Pinault,,Je ne me rappelais pas percevoir les formes de ce tableau aussi mal...
SAY.Cuisine.62.Barbara Pinault,,Ce micro onde me rappelle quelque chose...
SAY.Cuisine.66.Agent Domingus,,"Cet objet semble particulier, mais sans ses composantes principales, ce n'est qu'une boîte de conserve."
SAY.Cuisine.69.Agent Domingus,,"L'antenne est bien fixée mais il manque de quoi mettre cette radio en marche, une batterie peut être?"
SAY.Cuisine.72.Agent Domingus,,"J'ai beau avoir mis les piles dedans, sans antenne, cette radio ne sera pas en mesure de capter la moindre onde pour le moment."
SAY.Cuisine.75.Agent Domingus,,Je devrais être en mesure de tirer des informations de cette radio d'ancêtre désormais.
CHARACTER.Barbara Pinault,,Barbara Pinault
CHARACTER.Agent Domingus,,Agent Domingus
CHARACTER.Cliente,,Cliente
CHARACTER.Bots Narrator,,Bots Narrator
CHARACTER.Employee,,Employee
